Feature,Instance,LocX,LocY
1,1,14.33,159.23
1,2,292.76,821.02
1,3,957.07,556.95
1,4,736.48,367.98
1,5,331.87,96.76
1,6,318.85,964.33
1,7,261.55,577.17
1,8,288.66,920.92
1,9,618.13,916.06
1,10,391.56,996.35
1,11,207.86,645.48
1,12,303.78,424.85
1,13,853.23,728.41
1,14,758.56,366.34
1,15,945.33,72.66
1,16,366.09,366.64
1,17,503.44,220.27
1,18,709.28,373.38
1,19,341.07,603.54
1,20,495.44,972.39
1,21,179.84,74.15
1,22,452.01,6.44
1,23,285.08,719.2
1,24,626.67,109.48
1,25,85.36,74.5
1,26,909.35,789.45
1,27,782.5,615.8
1,28,727.37,140.8
1,29,314.92,495.25
1,30,384.27,1004.7
1,31,262.77,55.67
1,32,151.78,550.45
1,33,337.08,426.26
1,34,787.93,244.79
1,35,336.76,707.31
1,36,819.51,856.5
1,37,47.62,879.82
1,38,345.04,270.93
1,39,624.2,365.96
1,40,814.56,338.78
1,41,675.23,711.55
1,42,172.2,801.98
1,43,155.27,346.38
1,44,313.87,381.79
1,45,965.31,756.65
1,46,43.07,395.43
1,47,498.31,635.23
1,48,959.65,439.25
1,49,23.73,153.58
1,50,474.88,287.31
1,51,348.31,240.82
1,52,165.03,420.66
1,53,448.08,704.96
1,54,551.18,922.6
1,55,185.11,352.73
1,56,51.9,796.51
1,57,606.06,775.05
1,58,233.72,900.6
1,59,245.39,964.41
1,60,658.43,562.92
1,61,193.11,526.58
1,62,378.68,954.6
1,63,370.62,1004.36
1,64,627.11,478.71
1,65,968.75,170.35
1,66,495.64,924.97
1,67,726.3,679.31
1,68,561.3,20.69
1,69,968.2,604.37
1,70,727.57,357.86
1,71,633.71,518.3
1,72,738.08,712.7
1,73,424.12,313.96
1,74,760.16,369.13
1,75,231.22,724.47
1,76,767.54,139.07
1,77,435.08,722.9
1,78,414.88,220.82
1,79,639.06,74.27
1,80,552.56,872.78
1,81,215.82,758.4
1,82,119.72,154.8
1,83,87.38,800.56
1,84,169.78,829.41
1,85,56.22,830.1
1,86,377.45,323.48
1,87,644.3,239.01
1,88,894.44,909.23
1,89,323.08,655.26
1,90,772.43,406.43
1,91,88.74,400.55
1,92,966.98,119.09
1,93,899.45,758.63
1,94,889.36,32.99
1,95,136.63,406.6
1,96,681.06,397.63
1,97,75.56,621.47
1,98,477.41,244.36
1,99,928.65,61.16
1,100,285.15,896.65
1,101,229.71,309.96
1,102,719.27,866.85
1,103,398.17,316.71
1,104,204.29,705.51
1,105,809.74,131.17
1,106,542.83,334.78
1,107,795.67,282.9
1,108,328.63,97.6
1,109,560.42,902.53
