Feature,Instance,LocX,LocY
1,1,902.82,822.05
1,2,130.06,575.14
1,3,159.84,492.84
1,4,419.53,405.32
1,5,772.7,658.74
1,6,208.5,487.61
1,7,248.0,121.74
1,8,609.22,12.38
1,9,91.19,259.16
1,10,879.88,868.19
1,11,49.98,345.41
1,12,881.21,790.09
1,13,811.54,405.57
1,14,915.01,124.52
1,15,488.21,270.05
1,16,298.6,788.92
1,17,394.24,52.37
1,18,259.25,469.48
1,19,79.64,319.49
1,20,20.71,33.78
1,21,998.0,298.47
1,22,682.27,278.0
1,23,720.47,683.72
1,24,946.16,158.8
1,25,171.8,715.38
1,26,365.63,968.61
1,27,125.92,18.61
1,28,21.99,54.32
1,29,585.17,267.8
1,30,868.41,846.97
1,31,762.87,390.01
1,32,463.7,6.95
1,33,978.18,105.54
1,34,331.99,744.13
1,35,682.88,674.0
1,36,88.35,200.64
1,37,740.81,204.49
1,38,517.29,765.67
1,39,303.36,153.43
1,40,619.5,403.7
1,41,644.42,715.39
1,42,398.84,196.85
1,43,982.27,831.46
1,44,502.46,310.89
1,45,878.5,819.31
1,46,155.32,293.76
1,47,349.89,456.06
1,48,887.95,980.43
1,49,923.04,113.8
1,50,492.37,758.03
1,51,234.64,250.31
1,52,832.74,784.59
1,53,284.55,442.47
1,54,502.54,467.86
1,55,996.81,596.06
1,56,437.53,634.8
1,57,580.74,737.17
1,58,537.66,35.06
1,59,460.47,838.63
1,60,421.19,833.35
1,61,846.61,937.31
1,62,784.46,990.56
1,63,804.79,854.61
1,64,602.55,480.79
1,65,379.75,18.19
1,66,424.77,440.85
1,67,380.24,311.82
1,68,289.44,680.97
1,69,107.68,479.4
1,70,163.48,19.88
1,71,340.84,299.23
1,72,885.73,181.53
1,73,508.75,338.5
1,74,726.86,78.81
1,75,44.56,44.81
1,76,958.58,792.86
1,77,250.7,145.24
1,78,271.17,975.46
1,79,180.45,725.68
1,80,986.26,819.82
1,81,71.3,798.54
1,82,696.93,584.14
1,83,481.5,705.58
1,84,385.53,150.53
1,85,633.82,592.55
1,86,107.23,223.64
1,87,271.79,843.05
1,88,85.95,707.64
1,89,716.32,608.86
1,90,159.41,966.76
1,91,80.78,386.41
1,92,385.04,261.04
1,93,710.66,193.61
1,94,738.67,769.73
1,95,77.57,123.35
1,96,500.51,344.5
1,97,692.63,670.54
1,98,503.23,662.43
1,99,384.98,363.02
1,100,880.68,741.96
1,101,211.41,493.65
1,102,438.89,159.67
1,103,217.19,23.67
1,104,466.56,279.77
1,105,420.17,715.11
1,106,785.52,706.82
1,107,996.04,498.3
1,108,908.63,742.07
1,109,881.54,611.18
1,110,1004.08,332.54
1,111,922.39,456.97
1,112,967.39,158.25
1,113,394.34,161.4
1,114,944.92,125.7
1,115,155.51,767.42
1,116,786.65,428.24
1,117,533.21,499.87
1,118,164.32,979.61
1,119,810.11,741.42
1,120,530.18,822.48
1,121,533.08,304.43
1,122,178.85,226.94
1,123,154.32,442.59
1,124,157.76,252.07
1,125,343.83,46.5
1,126,430.04,574.66
1,127,149.06,934.17
1,128,266.43,630.46
1,129,870.08,175.73
1,130,494.79,54.12
1,131,546.57,290.36
1,132,419.19,643.77
1,133,578.38,439.32
1,134,474.02,830.64
1,135,739.46,299.2
1,136,714.17,164.63
1,137,175.41,875.86
1,138,621.7,1003.73
1,139,955.27,778.47
1,140,182.01,578.7
1,141,930.9,889.31
1,142,127.37,133.81
1,143,236.56,403.68
1,144,428.06,344.1
1,145,382.63,916.33
1,146,658.13,869.1
1,147,595.14,334.44
1,148,52.03,216.31
1,149,183.41,696.68
1,150,17.02,586.12
1,151,864.57,468.32
1,152,317.49,433.09
1,153,225.02,799.95
1,154,886.33,22.62
1,155,119.18,880.02
1,156,212.14,514.62
1,157,150.41,838.91
1,158,552.91,137.81
1,159,841.04,48.96
1,160,254.67,775.68
1,161,185.94,119.08
1,162,226.37,861.94
1,163,158.53,151.2
1,164,858.24,85.61
1,165,36.21,561.22
1,166,465.65,239.06
1,167,444.99,372.98
1,168,104.65,898.22
1,169,144.42,485.37
1,170,182.44,880.93
1,171,637.14,942.69
1,172,129.71,238.53
