Feature,Instance,LocX,LocY
1,1,3458.63,2185.71
1,2,1495.08,941.58
1,3,179.89,325.99
1,4,1344.0,1982.03
1,5,3089.14,1419.7
1,6,2141.84,1251.0
1,7,405.92,130.03
1,8,3719.79,438.51
1,9,503.51,1643.08
1,10,2156.72,1481.25
1,11,2143.19,536.99
1,12,3084.06,1727.65
1,13,2903.01,2758.98
1,14,2620.62,3362.23
1,15,2748.34,3055.51
1,16,2675.3,1437.58
1,17,32.42,1038.61
1,18,1823.29,2739.72
1,19,2372.8,3666.79
1,20,2134.71,489.54
1,21,1048.91,804.53
1,22,2525.26,462.72
1,23,2710.81,2054.26
1,24,1935.89,729.27
1,25,419.22,502.63
1,26,1585.91,1538.42
1,27,1423.54,2818.07
1,28,2100.43,2048.85
1,29,341.5,3045.11
1,30,3661.24,819.51
1,31,1014.01,2090.57
1,32,2439.89,2082.1
1,33,2345.8,2686.66
1,34,2986.19,2604.59
1,35,2534.61,528.4
1,36,936.79,1118.73
1,37,1037.21,3765.82
1,38,1163.96,205.27
1,39,3785.37,3576.05
1,40,3863.64,2327.2
1,41,596.83,3845.81
1,42,638.78,2209.13
1,43,2138.99,3988.25
1,44,2181.12,1674.15
1,45,1648.97,2388.27
1,46,719.27,481.66
1,47,2068.67,2994.15
1,48,1152.59,162.92
1,49,991.77,937.33
1,50,1705.42,3332.28
1,51,3610.34,3741.73
1,52,3979.88,1183.16
1,53,1708.73,2541.61
1,54,2798.96,2926.86
1,55,2388.84,38.98
1,56,922.82,155.13
1,57,1500.47,662.88
1,58,2345.73,877.66
1,59,1033.87,3741.57
1,60,849.86,1760.49
1,61,2522.7,1385.82
1,62,2006.27,3818.81
1,63,3461.79,644.59
1,64,2287.81,2895.38
1,65,3079.65,2579.85
1,66,3579.63,1524.58
1,67,1712.57,2894.16
1,68,3361.41,1600.44
1,69,3171.63,1199.84
1,70,3511.49,3189.49
1,71,2227.09,2886.6
1,72,1653.3,741.34
1,73,3004.0,1120.7
1,74,3243.64,968.03
1,75,375.44,640.16
1,76,3351.38,904.61
1,77,534.11,2390.12
1,78,1262.66,4010.12
1,79,1738.72,3079.05
1,80,2597.15,652.87
1,81,3917.82,1473.56
1,82,1430.74,3588.02
1,83,2909.41,986.86
1,84,241.31,3373.69
1,85,1829.71,2287.67
1,86,2533.42,1973.25
1,87,764.78,1502.26
1,88,340.98,2374.9
1,89,1412.31,2506.75
1,90,3158.69,3540.45
1,91,1521.43,3865.03
1,92,152.33,1804.02
1,93,1863.62,2813.1
1,94,138.31,1281.77
1,95,756.51,3257.61
1,96,575.37,2097.39
1,97,2148.14,3392.63
1,98,3886.71,4.12
1,99,1636.83,244.17
1,100,2056.91,560.96
1,101,2126.82,3937.66
1,102,583.34,1832.45
1,103,2271.21,575.63
1,104,3135.62,3712.84
1,105,2262.37,18.46
1,106,2411.25,1148.48
1,107,1833.58,2440.55
1,108,2737.16,807.64
1,109,35.82,1781.71
1,110,2239.57,2650.48
1,111,1388.99,3480.79
1,112,3760.95,962.46
1,113,3260.8,2675.28
1,114,3102.56,3447.02
1,115,1745.48,3036.23
1,116,2400.41,3510.47
1,117,2625.58,3869.12
1,118,2511.0,740.23
1,119,2344.32,1007.14
1,120,2524.16,1204.4
1,121,1893.83,1382.45
1,122,3543.11,3975.97
1,123,714.47,3462.47
1,124,690.41,3260.19
1,125,3620.02,2670.36
1,126,2754.16,2904.71
1,127,3937.02,1267.64
1,128,3078.45,3116.76
1,129,3907.75,3803.88
1,130,1564.99,1807.65
1,131,1531.71,3618.55
1,132,2879.93,1965.91
1,133,1074.01,295.54
1,134,2654.99,3855.01
1,135,865.77,967.5
1,136,2321.84,518.98
1,137,1193.98,791.43
1,138,3071.5,3217.15
1,139,1283.79,3145.69
1,140,1311.32,231.4
1,141,3942.74,1091.14
1,142,3373.82,343.53
1,143,1614.43,2955.54
1,144,3955.56,2640.45
1,145,1458.58,3497.17
1,146,514.82,1927.87
1,147,1104.47,2932.15
1,148,2741.82,3052.29
1,149,3342.02,99.86
1,150,632.95,3759.83
1,151,2390.81,2032.59
1,152,2424.72,1918.59
1,153,3644.07,2380.88
1,154,2727.86,1326.0
1,155,1049.73,195.32
1,156,1106.77,2744.84
1,157,2443.4,1145.55
1,158,1890.76,692.94
1,159,3117.7,1519.23
1,160,1549.24,3957.12
1,161,207.12,258.63
1,162,2222.02,2196.53
1,163,1739.79,904.39
1,164,2632.74,1824.49
1,165,185.77,627.66
1,166,2989.97,546.15
1,167,2203.05,2077.48
1,168,2802.37,1426.93
1,169,2400.3,23.01
1,170,556.99,746.1
1,171,1826.14,3381.79
1,172,1149.8,1490.83
1,173,593.47,3683.09
1,174,3250.46,3971.96
1,175,1695.09,2900.28
1,176,2929.36,1816.81
1,177,2476.17,1250.02
1,178,2828.65,3909.79
1,179,1491.12,3931.4
1,180,56.45,2455.02
1,181,1145.09,730.33
1,182,1069.61,3071.77
1,183,3875.66,1604.04
1,184,3809.75,932.83
1,185,3009.21,2734.24
1,186,3370.91,1824.53
1,187,563.85,2775.86
1,188,1113.68,2624.75
1,189,3116.1,910.71
1,190,492.91,1356.37
1,191,2547.88,916.77
1,192,3530.57,3738.53
1,193,811.55,2033.3
1,194,123.98,2186.77
1,195,3961.68,1469.86
1,196,1320.71,3974.77
1,197,216.67,942.53
1,198,835.39,2112.86
1,199,2447.88,1399.62
1,200,2563.86,373.19
1,201,1705.41,166.79
1,202,2023.0,1575.02
1,203,1108.38,1508.64
1,204,2244.84,857.58
1,205,736.37,3884.1
1,206,2636.45,2415.2
1,207,1510.23,2650.8
1,208,3279.09,2785.45
1,209,728.54,3021.97
1,210,1536.23,2820.32
1,211,1350.33,1839.69
1,212,645.23,2893.53
1,213,650.22,1256.66
1,214,2148.86,809.23
1,215,84.39,626.83
1,216,2253.02,119.85
1,217,750.68,883.73
1,218,2867.33,1733.45
1,219,1416.19,2124.63
1,220,2399.85,404.34
1,221,1912.38,3912.14
1,222,1424.33,1794.42
1,223,2562.9,2219.77
1,224,3100.32,3684.56
1,225,882.1,441.79
1,226,2134.83,1164.12
1,227,1609.79,522.76
1,228,3616.8,3249.35
1,229,433.23,3096.99
1,230,2967.71,2458.97
1,231,1222.08,1068.23
1,232,2217.71,2732.28
1,233,333.59,3431.31
1,234,3249.74,259.89
1,235,2713.05,1209.98
1,236,584.4,1817.35
1,237,3669.27,1837.92
1,238,2965.47,2220.78
1,239,1886.58,3038.43
1,240,2271.56,1586.42
1,241,2001.9,1483.07
1,242,329.94,3701.91
1,243,225.68,2388.98
1,244,3515.93,3260.37
1,245,2441.45,1394.03
1,246,995.94,3405.74
1,247,1989.36,3801.87
1,248,1061.36,3524.38
1,249,3800.78,1489.11
1,250,3718.91,2733.88
1,251,956.02,3029.19
1,252,2608.71,1867.26
1,253,728.14,3332.47
1,254,1175.68,3812.74
1,255,3500.74,1125.26
1,256,2833.4,3670.7
1,257,2683.06,2159.66
1,258,624.6,2852.19
1,259,2669.25,321.56
1,260,2564.37,3145.14
1,261,3853.39,2860.0
1,262,2656.68,206.6
1,263,3156.24,1904.14
1,264,1254.69,3131.28
1,265,3005.92,1632.11
1,266,2467.76,309.17
1,267,1139.28,2392.82
1,268,271.44,3811.92
1,269,3233.52,555.26
1,270,1760.65,3762.49
1,271,2251.32,12.34
1,272,1852.43,833.48
1,273,2021.8,3343.27
1,274,2387.93,1252.69
1,275,2138.09,1250.08
1,276,12.88,2143.55
1,277,583.48,2276.77
1,278,584.55,1058.95
1,279,2681.25,1022.12
1,280,642.98,2535.33
1,281,837.89,1106.64
1,282,3936.83,3710.99
1,283,974.58,3808.05
1,284,3168.5,3847.04
1,285,1864.01,3843.19
1,286,1601.0,2658.98
1,287,3656.14,1424.58
1,288,3562.04,2735.04
1,289,2418.15,24.77
1,290,1113.3,1638.63
1,291,1155.37,3582.18
1,292,2892.36,1733.25
1,293,3782.87,1413.4
1,294,3779.64,3436.88
1,295,1858.37,365.31
1,296,3643.84,2849.95
1,297,2457.5,2529.95
1,298,441.33,849.86
1,299,1605.31,2770.98
1,300,1514.75,439.89
1,301,3108.67,3204.57
1,302,3605.22,1787.18
