Feature,Instance,LocX,LocY
1,1,5849.062105,14843.71815
1,2,5361.783907,38707.95385
1,3,18163.79585,27422.33442
1,4,19037.66299,22543.78371
1,5,10706.97034,24519.1476
1,6,17628.59204,23098.81463
1,7,18586.44941,11251.041790000001
1,8,12817.67923,20163.86895
1,9,18273.80706,27754.1735
1,10,13115.22349,26254.930669999998
1,11,16435.12904,28287.296769999997
1,12,18737.3263,22052.8942
1,13,18261.08891,25488.5973
1,14,18621.2167,24842.828390000002
1,15,18439.24357,19472.56955
1,16,16627.88461,17112.37947
1,17,11386.01928,35692.962269999996
1,18,17789.42352,27723.92602
1,19,16646.19966,17929.221840000002
1,20,15248.30891,37716.21782
1,21,19099.06861,19901.76792
1,22,13211.25023,16317.600680000001
1,23,17092.17985,24895.78765
1,24,16351.00196,25441.8194
1,25,17603.36736,23361.67301
1,26,16743.95359,27114.6862
1,27,17015.67563,27271.4924
1,28,18045.053930000002,26242.233809999998
1,29,16699.047769999997,23512.67653
1,30,18031.37068,27529.06043
1,31,16950.37844,22132.528
1,32,18570.02117,23129.42074
1,33,18713.56091,25805.36164
1,34,16519.97909,26604.0386
1,35,15465.019830000001,30684.7978
1,36,19147.69193,26487.483659999998
1,37,18184.08387,26824.21772
1,38,16655.24584,18066.63749
1,39,18800.44992,23655.32685
1,40,12834.8414,24940.939459999998
1,41,17371.174740000002,26675.642190000002
1,42,18988.62169,20582.70935
1,43,18018.39153,26986.93018
1,44,10788.87284,21403.772869999997
1,45,16498.416390000002,31091.910310000003
1,46,12510.824929999999,13140.62392
1,47,16298.53234,31782.374389999997
1,48,11180.79185,37632.80837
1,49,17569.85805,27525.10658
1,50,22607.44508,13357.84044
1,51,18056.686990000002,27217.831469999997
1,52,14396.6133,30604.146010000004
1,53,16642.60903,23899.48521
1,54,17554.995909999998,26671.52128
1,55,16905.46061,24527.59435
1,56,13432.212,21741.665240000002
1,57,18701.344259999998,24218.042709999998
1,58,16927.05392,22254.997000000003
1,59,18907.83796,19679.43924
1,60,17731.12284,19180.26336
1,61,16437.411519999998,19299.43563
1,62,3641.28498,37380.88711
