Feature,Instance,LocX,LocY
1,1,9742.74,4031.78
1,2,2561.54,7321.05
1,3,5346.05,4874.43
1,4,2066.65,3979.43
1,5,9459.99,7598.24
1,6,1383.45,7242.6
1,7,6460.97,7056.01
1,8,955.38,2981.62
1,9,8568.24,6350.85
1,10,4662.19,2980.08
1,11,1793.71,4841.02
1,12,2552.64,6194.79
1,13,1690.45,3634.06
1,14,6534.53,1376.42
1,15,1222.08,8377.17
1,16,5243.37,5848.27
1,17,4363.55,8332.91
1,18,1407.37,8348.31
1,19,338.09,7045.56
1,20,9642.33,1534.13
1,21,5973.08,4037.4
1,22,6861.67,9813.4
1,23,339.42,6199.97
1,24,3445.28,3681.36
1,25,2659.46,6707.57
1,26,4065.21,6041.29
1,27,917.67,7752.28
1,28,6504.48,4849.72
1,29,3706.35,9142.39
1,30,1011.24,7776.84
1,31,6709.91,8583.17
1,32,7604.69,7291.73
1,33,5530.2,8689.77
1,34,5737.94,7389.99
1,35,741.31,8187.68
1,36,2517.32,5407.43
1,37,7511.57,9513.54
1,38,2923.86,7686.35
1,39,4827.53,3335.98
1,40,1067.78,7666.28
1,41,8619.61,4323.68
1,42,3260.03,2930.15
1,43,7658.85,663.83
1,44,4786.35,7056.95
1,45,6941.01,1595.68
1,46,7561.8,2833.88
1,47,4135.78,1411.67
1,48,564.57,224.23
1,49,1774.82,882.68
1,50,7771.29,5544.92
1,51,1807.43,6828.04
1,52,4300.23,7252.22
1,53,1023.23,5865.01
1,54,1015.76,2982.04
1,55,4625.19,6036.6
1,56,9412.55,8069.84
1,57,1547.28,9550.36
1,58,2918.65,1095.05
1,59,6355.52,9059.11
1,60,2360.18,94.13
1,61,9711.8,1121.32
1,62,2627.49,6739.73
1,63,6911.1,2175.81
1,64,1731.41,2028.25
1,65,1748.44,4653.27
1,66,5098.2,5198.7
1,67,8652.16,7216.25
1,68,1312.71,1112.29
1,69,7301.39,105.1
1,70,5402.86,4004.22
1,71,2554.22,3182.49
1,72,2494.29,6645.01
1,73,364.87,3313.03
