Feature,Instance,LocX,LocY
1,1,3208.93,7924.04
1,2,1828.69,8996.39
1,3,9186.07,9742.21
1,4,3132.58,2700.55
1,5,7060.39,8599.24
1,6,9666.73,6958.01
1,7,110.33,7553.16
1,8,5273.3,123.95
1,9,149.02,2549.99
1,10,269.11,1902.33
1,11,6104.54,7183.14
1,12,9962.78,5445.84
1,13,8464.63,7712.21
1,14,8950.88,7899.48
1,15,6048.89,8656.62
1,16,3861.51,9661.0
1,17,2791.15,9441.88
1,18,4332.62,9994.15
1,19,4558.23,1413.36
1,20,3197.18,2407.8
1,21,5493.34,7320.02
1,22,4321.03,4470.3
1,23,7334.4,7054.7
1,24,2317.94,8064.33
1,25,917.82,3842.92
1,26,5971.46,5287.81
1,27,2690.55,4360.03
1,28,3266.4,8499.79
1,29,5888.46,9290.79
1,30,2735.17,5181.66
1,31,2420.2,2560.7
1,32,9567.53,5646.29
1,33,2865.01,4325.2
1,34,3093.12,4384.41
1,35,7328.41,1156.99
1,36,402.62,6517.9
1,37,3215.14,1436.62
1,38,1902.11,3572.04
1,39,6714.81,5745.88
1,40,9971.35,1243.15
1,41,1080.49,1732.36
1,42,7764.86,8551.32
1,43,7075.67,2953.32
1,44,4855.9,9108.62
1,45,1374.86,9891.03
1,46,4573.96,4958.14
1,47,1467.09,172.02
1,48,8799.26,890.13
1,49,7760.41,1651.29
1,50,3051.82,9566.62
1,51,9405.28,2309.5
1,52,2236.15,2114.4
1,53,1402.39,10.58
1,54,824.43,2138.86
1,55,8718.48,1317.79
1,56,7000.14,5204.88
1,57,5517.9,532.14
1,58,3070.4,898.78
1,59,2409.47,4737.69
1,60,9851.18,3855.99
1,61,5774.73,8479.2
1,62,8705.08,7163.31
1,63,7132.12,9409.26
1,64,6109.27,7837.47
1,65,7194.39,3741.85
1,66,9961.35,8564.53
1,67,5775.98,6416.57
1,68,7259.12,4839.24
1,69,43.31,4090.28
1,70,9168.94,6054.68
1,71,9488.0,7537.76
1,72,9950.08,8515.93
1,73,8276.39,380.73
1,74,5628.95,8386.84
1,75,7725.49,3791.11
1,76,5207.78,9048.19
1,77,4495.09,7769.68
1,78,7278.25,7703.94
1,79,6763.96,7773.45
1,80,6701.97,8016.93
1,81,9063.1,3095.74
1,82,4176.46,2702.91
1,83,7552.24,1260.31
1,84,4277.27,2895.94
1,85,6466.91,3806.09
1,86,5280.38,5747.64
1,87,676.46,5185.61
1,88,2244.11,7223.33
1,89,1024.17,6153.73
1,90,6541.59,2479.53
1,91,7640.4,6932.19
1,92,4940.35,1865.52
1,93,7380.66,6620.87
1,94,9682.34,767.84
1,95,595.99,7792.0
1,96,7941.2,4824.49
1,97,4819.07,3019.88
1,98,8527.29,5600.48
1,99,6724.51,9294.88
1,100,1326.2,5702.51
1,101,8802.55,7279.97
1,102,2126.21,3810.19
1,103,2801.44,143.86
1,104,2540.67,5688.74
1,105,1018.97,4244.38
1,106,7242.74,7919.59
1,107,4231.03,3419.12
1,108,3127.34,5207.4
1,109,1472.12,9964.63
1,110,7991.71,7151.68
1,111,7068.1,1314.98
1,112,253.5,6001.86
1,113,9317.92,8596.83
1,114,9907.78,3605.59
1,115,782.3,3011.91
1,116,5789.79,3937.84
1,117,7039.26,3382.2
1,118,2261.62,6746.56
1,119,9524.62,7165.97
1,120,5865.39,5316.64
1,121,5994.53,7477.28
1,122,563.74,9566.09
1,123,7621.17,954.75
1,124,113.87,7927.51
1,125,6730.79,394.4
1,126,2365.92,7264.41
1,127,9301.73,4613.79
1,128,7248.35,4491.45
1,129,9310.61,5453.41
1,130,4056.02,4468.0
1,131,2063.19,3359.12
1,132,1885.31,4454.27
1,133,4869.52,5689.98
1,134,23.29,4766.65
1,135,6659.73,3231.25
1,136,4526.06,7848.36
1,137,3736.58,2990.94
1,138,9154.12,4221.76
1,139,8936.23,5122.3
1,140,7688.21,9621.02
1,141,6107.26,5794.96
1,142,3797.48,7403.99
1,143,1847.71,3656.06
1,144,8300.46,5104.15
1,145,6870.36,7675.06
1,146,4423.79,4800.22
1,147,5096.23,945.67
1,148,2433.04,8449.51
1,149,9627.96,8225.06
1,150,4625.0,7208.89
1,151,3363.34,6548.21
1,152,9429.26,6599.01
1,153,4431.75,9066.77
1,154,8770.17,7555.37
1,155,4454.38,9366.24
1,156,7546.33,7420.55
1,157,5338.79,817.14
1,158,7436.4,4787.35
1,159,1758.68,7060.16
